144.967,-37.8175,15
-118.192,33.7667,444
-84.4572,33.6371,26
-118.245,34.0535,999
-79.49533,40.219809,1
-74.0071,40.7146,912
-80.2374,25.729,88
-118.224,33.8953,440
-82.7531,28.1508,2
-73.8317,40.7038,574
-122.273,37.8051,69
-73.9458333,40.8077778,47
-94.8079,29.2953,1
139.741,35.6705,21
-80.1436,26.1237,1
-79.3853,43.6486,126
-87.1135,37.7742,9
-95.3698,29.7605,300
-73.7875,40.6775,136
-81.6558,30.3314,18
2.16874,41.3856,4
-74.154,40.5725,336
-78.6427,35.7855,8
-73.6228,40.7099,11
-95.845,37.1679,103
-75.1624,39.9523,523
-79.7713,38.0033,43
-122.676,45.5118,4
-80.9474,33.6265,1
-3.2,51.5,1
10.1726,36.7987,2
121.024,23.5998,1
-92.302,38.4623,1
-89.5041,39.7393,3
-118.337,34.1016,1
-117.852006,33.787874,1
107.607,-6.91242,1
-118.262,33.8316,20
9.99245,53.5533,2
-84.3911,33.7483,478
-80.09787,26.311102,10
-74.005973,40.714269,329
-2.97848,53.4098,15
-71.6342,44.0012,3
-73.9664,40.7909,3
-73.33268,40.914289,72
-118.117,34.5792,16
-88.0677,42.0253,12
-73.8568,40.8572,201
-119.27,37.2719,227
-77.029,38.8991,78
68.8878,26.1062,1
-73.8636,40.7373,22
-74.5089,40.314,31
-71.0567,42.3586,182
-86.7784,36.1678,78
-81.667486,41.489381,1
-118.298662,33.786594,12
149.127,-35.3065,5
-122.471,48.7523,16
-90.1995,38.6277,166
-111.888,40.7595,11
-84.6217,43.7427,3
-118.03,34.0706,2
-122.187553,47.61002,9
19.0648,47.5062,15
-83.7336,42.3281,1
-118.277,33.9274,134
-87.6324,41.8842,152
-71.2194,46.8127,13
-85.629101,42.984226,1
-74.0432,40.7174,15
-1.37904,53.3729,1
-101.956,23.6257,4
-72.2063,41.7105,83
-86.4369,34.754,1
-73.9489,40.6551,1173
-83.7826,43.0026,7
-74.1742,40.732,142
-74.7757,40.2107,13
-73.0462,41.5541,1
151.207,-33.8696,16
-84.7563,49.3843,9
-93.2649,44.979,210
-122.42,37.7796,44
-80.0195,35.2196,4
-78.7912,35.8738,1
-74.005973,40.714269,4
